"atlas ID","PMID","Year","Domain","Trait","P-value","N","EA","NEA"
"157","25673412","2015","Metabolic","Hip circumference (male)","6.7e-8","94790","C","T"
"158","25673412","2015","Metabolic","Hip circumference (male)","1e-8","100384","C","T"
"159","25673412","2015","Metabolic","Hip circumference (female)","0.0000029","118528","C","T"
"160","25673412","2015","Metabolic","Hip circumference (female)","0.0000046","125113","C","T"
"161","25673412","2015","Metabolic","Hip circumference (adjusted for BMI)","0.0032","211117","C","T"
"162","25673412","2015","Metabolic","Hip circumference (adjusted for BMI)","0.0045","225491","C","T"
"163","25673412","2015","Metabolic","Hip circumference (male, adjusted for BMI)","0.027","93965","C","T"
"164","25673412","2015","Metabolic","Hip circumference (male, adjusted for BMI)","0.015","99563","C","T"
"165","25673412","2015","Metabolic","Hip circumference (female, adjusted for BMI)","0.023","117340","C","T"
"166","25673412","2015","Metabolic","Hip circumference (female, adjusted for BMI)","0.048","123904","C","T"
"167","25673412","2015","Metabolic","Waist circumference","3.9e-9","232101","C","T"
"168","25673412","2015","Metabolic","Waist circumference","1.7e-9","244441","C","T"
"169","25673412","2015","Metabolic","Waist circumference (male)","3.4e-8","104406","C","T"
"170","25673412","2015","Metabolic","Waist circumference (male)","4.6e-9","110004","C","T"
"171","25673412","2015","Metabolic","Waist circumference (female)","0.00081","127998","C","T"
"172","25673412","2015","Metabolic","Waist circumference (female)","0.00059","134594","C","T"
"185","25673412","2015","Metabolic","Waist-hip ratio (adjusted for BMI)","0.0096","210086","T","C"
"186","25673412","2015","Metabolic","Waist-hip ratio (adjusted for BMI)","0.01","224456","T","C"
"189","25673412","2015","Metabolic","Waist-hip ratio (female, adjusted for BMI)","0.027","116742","T","C"
"190","25673412","2015","Metabolic","Waist-hip ratio (female, adjusted for BMI)","0.029","123303","T","C"
"198","26631737","2016","Metabolic","Urinary albumin-to-creatinine ratio (diabetes positive)","0.011","5825","C","T"
"206","23263486","2013","Metabolic","Serum Urate","0.00371582937590188","110347","C","T"
"208","20453842","2010","Connective Tissue","Rheumatoid Arthritis","0.00256372","25708","C","T"
"234","25772697","2015","Immunological","Lymph:%NK","0.0366186439551071","669","T","C"
"284","25772697","2015","Immunological","CD4:%Act(38+)","0.0119228242238811","669","T","C"
"319","25772697","2015","Immunological","CD8mem:%""pre-Th17"" (1)","0.0388691315864942","669","T","C"
"320","25772697","2015","Immunological","CD8mem:%""pre-Th17"" (2)","0.00529374072610177","669","T","C"
"321","25772697","2015","Immunological","CD8mem:%R6+PD1+161-","0.00938015319945709","669","T","C"
"322","25772697","2015","Immunological","CD8mem:%""Th1""","0.0299857159934974","669","T","C"
"323","25772697","2015","Immunological","CD8mem:%""Th1*""","0.0123047332081101","669","T","C"
"352","25772697","2015","Immunological","NKT:%TM","0.029131606473345","669","T","C"
"358","25772697","2015","Immunological","earlyB:%27+","0.0393542635466219","669","T","C"
"382","24816252","2014","Metabolic","Amino acid::Glycine, serine and threonine metabolism::N-acetylthreonine","0.02746","6909","T","C"
"392","24816252","2014","Metabolic","Amino acid::Phenylalanine & tyrosine metabolism::3-(4-hydroxyphenyl)lactate","0.03282","7795","C","T"
"413","24816252","2014","Metabolic","Amino acid::Urea cycle; arginine-, proline-, metabolism::dimethylarginine (SDMA + ADMA)","0.04945","7347","C","T"
"425","24816252","2014","Metabolic","Amino acid::Valine, leucine and isoleucine metabolism::alpha-hydroxyisovalerate","0.01199","7668","C","T"
"432","24816252","2014","Metabolic","Amino acid::Valine, leucine and isoleucine metabolism::levulinate (4-oxovalerate)","0.03378","6982","C","T"
"439","24816252","2014","Metabolic","Carbohydrate::Glycolysis, gluconeogenesis, pyruvate metabolism::1,5-anhydroglucitol (1,5-AG)","0.00721","7746","C","T"
"459","24816252","2014","Metabolic","Energy::Krebs cycle::citrate","0.02341","7813","C","T"
"469","24816252","2014","Metabolic","Lipid::Bile acid metabolism::hyodeoxycholate","0.002126","6025","T","C"
"474","24816252","2014","Metabolic","Lipid::Bile acid metabolism::ursodeoxycholate","0.02286","5477","T","C"
"489","24816252","2014","Metabolic","Lipid::Essential fatty acid::docosapentaenoate (n3 DPA; 22:5n3)","0.01717","7821","C","T"
"494","24816252","2014","Metabolic","Lipid::Fatty acid metabolism (also BCAA metabolism)::butyrylcarnitine","0.02104","7796","C","T"
"507","24816252","2014","Metabolic","Lipid::Glycerolipid metabolism::glycerol","0.04308","7800","C","T"
"513","24816252","2014","Metabolic","Lipid::Ketone bodies::3-hydroxybutyrate (BHBA)","0.04392","7820","C","T"
"514","24816252","2014","Metabolic","Lipid::Long chain fatty acid::10-heptadecenoate (17:1n7)","0.009965","7795","C","T"
"515","24816252","2014","Metabolic","Lipid::Long chain fatty acid::10-nonadecenoate (19:1n9)","0.0232","7789","C","T"
"518","24816252","2014","Metabolic","Lipid::Long chain fatty acid::dihomo-linoleate (20:2n6)","0.02522","7800","C","T"
"524","24816252","2014","Metabolic","Lipid::Long chain fatty acid::oleate (18:1n9)","0.04901","7768","C","T"
"526","24816252","2014","Metabolic","Lipid::Long chain fatty acid::palmitoleate (16:1n7)","0.002827","7776","C","T"
"554","24816252","2014","Metabolic","Lipid::Medium chain fatty acid::5-dodecenoate (12:1n7)","0.008712","7770","C","T"
"585","24816252","2014","Metabolic","Nucleotide::Purine metabolism, guanine containing::guanosine","0.007328","2343","C","T"
"592","24816252","2014","Metabolic","Peptide::Dipeptide::cyclo(leu-pro)","0.01547","4833","C","T"
"605","24816252","2014","Metabolic","Peptide::gamma-glutamyl::gamma-glutamylmethionine*","0.004173","2240","C","T"
"630","24816252","2014","Metabolic","Xenobiotics::Food component, Plant::ergothioneine","0.04316","4453","T","C"
"665","24816252","2014","Metabolic","::::X-05907","0.01606","7734","C","T"
"733","24816252","2014","Metabolic","::::X-11818","0.0411","6790","T","C"
"757","24816252","2014","Metabolic","Amino acid::Tryptophan metabolism::X-12100--hydroxytryptophan*","0.02147","7499","C","T"
"762","24816252","2014","Metabolic","::::X-12212","0.007524","4566","T","C"
"774","24816252","2014","Metabolic","::::X-12428","0.001818","1439","T","C"
"776","24816252","2014","Metabolic","Lipid::Eicosanoid::X-12441--12-hydroxyeicosatetraenoate (12-HETE)","0.03141","2761","T","C"
"777","24816252","2014","Metabolic","Lipid::Long chain fatty acid::X-12442--5,8-tetradecadienoate","0.0393","7780","C","T"
"778","24816252","2014","Metabolic","::::X-12443","0.04488","5357","T","C"
"781","24816252","2014","Metabolic","::::X-12465","0.02883","5883","C","T"
"790","24816252","2014","Metabolic","::::X-12696","0.02393","7409","C","T"
"814","24816252","2014","Metabolic","::::X-13069","0.008272","6770","C","T"
"818","24816252","2014","Metabolic","Lipid::Carnitine metabolism::X-13431--nonanoylcarnitine*","0.03433","6591","T","C"
"859","27005778","2016","Metabolic","CH2 groups in fatty acids","0.026933","19021","T","C"
"871","27005778","2016","Metabolic","Glucose","0.002388","24679","T","C"
"876","27005778","2016","Metabolic","Total cholesterol in HDL","0.006545","21555","C","T"
"886","27005778","2016","Metabolic","Total cholesterol in large HDL","0.020146","21558","C","T"
"887","27005778","2016","Metabolic","Cholesterol esters in large HDL","0.032357","19273","C","T"
"888","27005778","2016","Metabolic","Free cholesterol in large HDL","0.012749","21559","C","T"
"889","27005778","2016","Metabolic","Total lipids in large HDL","0.008418","19273","C","T"
"890","27005778","2016","Metabolic","Concentration of large HDL particles","0.006117","19273","C","T"
"891","27005778","2016","Metabolic","Phospholipids in large HDL","0.004055","19273","C","T"
"912","27005778","2016","Metabolic","Free cholesterol in medium HDL","0.03962","21559","C","T"
"974","27989323","2017","Immunological","Cutaneous T-cell attracting (CCL27)","0.01879","3631","C","T"
"979","27989323","2017","Immunological","Hepatocyte growth factor","0.01519","8292","C","T"
"1048","17463248","2007","Endocrine","Type 2 Diabetes","0.00001246211","2335","NA","NA"
"1096","21909110","2011","Cardiovascular","Pulse pressure","0.0445730396931","69395","C","T"
"1101","19060910","2009","Metabolic","Glucose - Birth cohorts","0.01238","4763","NA","NA"
"1108","27918534","2017","Metabolic","Subcutaneous adipose tissue volume","0.0015","18247","NA","NA"
"1109","27918534","2017","Metabolic","Subcutaneous adipose tissue volume (male)","0.000041","8685","NA","NA"
"1112","27918534","2017","Metabolic","Visceral sdipose tissue volume (male)","0.029","8738","NA","NA"
"1123","27918534","2017","Metabolic","Subcutaneous adipose tissue attenuation","0.034","18247","NA","NA"
"1124","27918534","2017","Metabolic","Subcutaneous adipose tissue attenuation (male)","0.0056","8685","NA","NA"
"1127","27918534","2017","Metabolic","Visceral adipose tissue sttenutation (male)","0.018","8738","NA","NA"
"1129","27918534","2017","Metabolic","Ratio of visceral-tosubcutaneous adipose tissue volume","0.047","18191","NA","NA"
"1141","27494321","2016","Psychiatric","Chronotype","0.029","128266","T","C"
"1143","28490609","2017","Metabolic","Acute insulin response (adjusted for BMI)","0.000103","5567","C","T"
"1144","28490609","2017","Metabolic","Disposition index (adjusted for BMI)","0.003208","5567","C","T"
"1146","28490609","2017","Metabolic","Peak insulin response (adjusted for BMI)","0.00008888","5567","C","T"
"1147","24699409","2014","Metabolic","Ratio of AUC insulin to AUC glucose","0.000814","4213","C","T"
"1148","24699409","2014","Metabolic","AUC insulin","0.019919","4324","C","T"
"1149","24699409","2014","Metabolic","Corrected insulin response","0.002316","5318","C","T"
"1150","24699409","2014","Metabolic","Corrected insulin response (adjusted for insulin sensitivity index)","0.008757","4789","C","T"
"1152","24699409","2014","Metabolic","Incremental insulin 30 min","0.025403","4447","C","T"
"1153","24699409","2014","Metabolic","Insulin response to glucose duing the first 30 min (adjusted for BMI)","0.002756","4409","C","T"
"1154","24699409","2014","Metabolic","Insulin at 30 min","0.019078","4483","C","T"
"1156","22581228","2012","Metabolic","Fasting glucose main effect","1.14e-9","58074","T","C"
"1157","22581228","2012","Metabolic","Fasting glucose main effect (adjusted for BMI)","9.546e-13","58074","T","C"
"1158","22581128","2012","Metabolic","Fasting glucose interaction (adjusted for BMI)","0.003697","58074","T","C"
"1159","22581028","2012","Metabolic","Fasting insulin main effect","2.757e-7","51750","C","T"
"1160","22581028","2012","Metabolic","Fasting insulin main effect (adjusted for BMI)","0.000004811","51750","C","T"
"1162","21873549","2011","Metabolic","Fasting proinsulin (adjusted for fasting insulin, age and sex)","3.484e-18","10701","T","C"
"1163","20858683","2010","Hematological","Hemoglobin A1C","0.0001891","46368","T","C"
"1164","20081857","2010","Metabolic","Glucose levels 2 h after an oral glucose challenge","2.574e-8","15234","T","C"
"1165","20081858","2010","Metabolic","Fasting glucose","2.796e-8","46186","T","C"
"1166","20081858","2010","Metabolic","Fasting insulin","0.004635","38238","C","T"
"1167","20081858","2010","Metabolic","HOMA-B","1.393e-7","36466","C","T"
"1168","20081858","2010","Metabolic","HOMA-IR","0.03363","37037","C","T"
"1171","26833246","2016","Metabolic","Body fat percentage","0.001277","100716","C","T"
"1174","26955885","2016","Psychiatric","Extreme chronotype","0.0083763","100420","T","C"
"1178","27992416","2017","Neurological","Insomnia","0.0082805","59128","C","T"
"1180","27992416","2017","Neurological","Insomnia (female)","0.003649","30445","C","T"
"1188","23297363","2013","Cardiovascular","Tetralogy of Fallot","0.02239","5159","G","A"
"1197","25027320","2014","Psychiatric","Cerebrospinal fluid levels of amyloid-beta 1-42","0.0379","363","C","T"
"1203","24390342","2014","Connective Tissue","Rheumatoid Arthritis","0.0074","58284","C","T"
"1204","24390342","2014","Connective Tissue","Rheumatoid Arthritis","0.0037","103638","C","T"
"1211","24509480","2014","Endocrine","Type 2 Diabetes","7.8e-75","110452","T","C"
"1212","27398621","2016","Endocrine","Type 2 Diabetes","8.599e-62","44414","NA","NA"
"1216","27911795","2016","Psychiatric","Alcohol consumption (dichotomous)","0.01955","74711","C","T"
"2034","27992413","2017","Gastrointestinal","Primary sclerosing cholangitis","0.00296855855581116","14890","C","T"
"2052","26691988","2016","Ophthalmological","Age-related Macular Degeneration","0.0243","33976","NA","NA"
"2061","28240269","2017","Cell","F11 - Coagulation Factor XI","0.02949","1000","NA","NA"
"2069","28240269","2017","Cell","FLT4 - Vascular endothelial growth factor receptor 3","0.008932","1000","NA","NA"
"2107","28240269","2017","Cell","TNFRSF9 - Tumor necrosis factor receptor superfamily member 9","0.04231","1000","NA","NA"
"2169","28240269","2017","Cell","CNTFR - Ciliary neurotrophic factor receptor subunit alpha","0.04679","1000","NA","NA"
"2170","28240269","2017","Cell","AIMP1 - Endothelial monocyte-activating polypeptide 2","0.01923","1000","NA","NA"
"2193","28240269","2017","Cell","FGF19 - Fibroblast growth factor 19","0.02917","1000","NA","NA"
"2195","28240269","2017","Cell","FGF9 - Fibroblast growth factor 9","0.007211","1000","NA","NA"
"2210","28240269","2017","Cell","MMP7 - Matrilysin","0.008218","1000","NA","NA"
"2215","28240269","2017","Cell","APOB - Apolipoprotein B","0.01264","1000","NA","NA"
"2239","28240269","2017","Cell","TIE1 - Tyrosine-protein kinase receptor Tie-1, soluble","0.01993","1000","NA","NA"
"2287","28240269","2017","Cell","CFP - Properdin","0.03596","1000","NA","NA"
"2310","28240269","2017","Cell","IL18RAP - Interleukin-18 receptor accessory protein","0.009628","1000","NA","NA"
"2343","28240269","2017","Cell","PRSS1 - Trypsin-1","0.03609","1000","NA","NA"
"2358","28240269","2017","Cell","IL2 - Interleukin-2","0.003242","1000","NA","NA"
"2392","28240269","2017","Cell","CRISP3 - Cysteine-rich secretory protein 3","0.01213","1000","NA","NA"
"2398","28240269","2017","Cell","GNLY - Granulysin","0.04958","1000","NA","NA"
"2411","28240269","2017","Cell","ASAH2 - Neutral ceramidase","0.01635","1000","NA","NA"
"2534","28240269","2017","Cell","PDGFRB - Platelet-derived growth factor receptor beta","0.01624","1000","NA","NA"
"2556","28240269","2017","Cell","IFNA2 - Interferon alpha-2","0.001743","1000","NA","NA"
"2558","28240269","2017","Cell","IL17B - Interleukin-17B","0.03049","1000","NA","NA"
"2581","28240269","2017","Cell","C1S - Complement C1s subcomponent","0.02095","1000","NA","NA"
"2610","28240269","2017","Cell","OLR1 - Oxidized low-density lipoprotein receptor 1","0.03981","1000","NA","NA"
"2625","28240269","2017","Cell","MSR1 - Macrophage scavenger receptor types I and II","0.03718","1000","NA","NA"
"2646","28240269","2017","Cell","IL5 - Interleukin-5","0.008846","1000","NA","NA"
"2653","28240269","2017","Cell","ANGPTL4 - Angiopoietin-related protein 4","0.02207","1000","NA","NA"
"2711","28240269","2017","Cell","HINT1 - Histidine triad nucleotide-binding protein 1","0.02063","1000","NA","NA"
"2759","28240269","2017","Cell","F2 - Thrombin","0.03923","1000","NA","NA"
"2817","28240269","2017","Cell","CRP - C-reactive protein","0.03737","1000","NA","NA"
"2821","28240269","2017","Cell","NGF - beta-nerve growth factor","0.01556","1000","NA","NA"
"2849","28240269","2017","Cell","SIGLEC1 - Sialoadhesin","0.02226","1000","NA","NA"
"2917","28240269","2017","Cell","GSN - Gelsolin","0.02171","1000","NA","NA"
"2923","28240269","2017","Cell","ITIH4 - Inter-alpha-trypsin inhibitor heavy chain H4","0.02755","1000","NA","NA"
"2954","28240269","2017","Cell","PLA2G1B - Phospholipase A2","0.03326","1000","NA","NA"
"2994","28240269","2017","Cell","PTK2 - Focal adhesion kinase 1","0.04561","1000","NA","NA"
"3053","28240269","2017","Cell","TNFRSF18 - Tumor necrosis factor receptor superfamily member 18","0.02402","1000","NA","NA"
"3132","28240269","2017","Cell","BCAR3 - Breast cancer anti-estrogen resistance protein 3","0.03308","1000","NA","NA"
"3155","28240269","2017","Cell","KRT18 - Keratin, type I cytoskeletal 18","0.03013","1000","NA","NA"
"3185","31427789","2019","Metabolic","Waist circumference","0.00006327","385932","C","T"
"3186","31427789","2019","Metabolic","Hip circumference","3.469e-18","385887","C","T"
"3188","31427789","2019","Cardiovascular","Pulse rate (automated reading)","0.000007908","361411","T","C"
"3190","31427789","2019","Mortality","Number of self-reported non-cancer illnesses","0.0006753","386581","T","C"
"3191","31427789","2019","Activities","Number of treatments/medications taken","2.361e-7","386581","T","C"
"3192","31427789","2019","Activities","Length of time at current address","0.01933","385315","C","T"
"3208","31427789","2019","Activities","Number of days/week of vigorous physical activity 10+ minutes","0.009659","368164","C","T"
"3211","31427789","2019","Activities","Frequency of stair climbing in last 4 weeks","0.01532","382731","C","T"
"3230","31427789","2019","Psychiatric","Morning/evening person (chronotype)","0.0005002","345148","C","T"
"3245","31427789","2019","Nutritional","Non-oily fish intake","0.04591","384907","T","C"
"3259","31427789","2019","Nutritional","Major dietary changes in the last 5 years","0.0000207","385587","T","C"
"3267","31427789","2019","Psychiatric","Alcohol usually taken with meals","0.004623","197613","T","C"
"3270","31427789","2019","Metabolic","Comparative body size at age 10","0.01629","379749","C","T"
"3284","31427789","2019","Psychiatric","Mood swings","0.001059","377179","C","T"
"3285","31427789","2019","Psychiatric","Miserableness","0.00919","379907","C","T"
"3290","31427789","2019","Psychiatric","Worrier / anxious feelings","0.002735","376411","C","T"
"3301","31427789","2019","Psychiatric","Seen doctor (GP) for nerves, anxiety, tension or depression","0.002437","383771","C","T"
"3303","31427789","2019","Psychiatric","Able to confide","0.04155","374820","T","C"
"3307","31427789","2019","Activities","Overall health rating","0.01581","384850","C","T"
"3308","31427789","2019","Mortality","Long-standing illness, disability or infirmity","4.788e-9","377498","T","C"
"3309","31427789","2019","Activities","Wears glasses or contact lenses","0.02659","386016","T","C"
"3310","31427789","2019","Activities","Age started wearing glasses or contact lenses","0.02777","332074","C","T"
"3315","31427789","2019","Activities","Use of sun/uv protection","0.03523","383659","T","C"
"3328","31427789","2019","Endocrine","Diabetes (diagnosed by doctor)","2.819e-167","385420","T","C"
"3329","31427789","2019","Neoplasms","Cancer (diagnosed by doctor)","0.00854","385231","T","C"
"3332","31427789","2019","Activities","Taking other prescription medications","0.01748","385236","T","C"
"3342","31427789","2019","Metabolic","Birth weight of first child (female)","8.658e-7","165872","T","C"
"3343","31427789","2019","Reproduction","Age at first live birth (female)","0.0001818","141051","C","T"
"3344","31427789","2019","Reproduction","Age at last live birth (female)","0.03755","140855","C","T"
"3345","31427789","2019","Reproduction","Ever had stillbirth, spontaneous miscarriage or termination (female)","0.01425","205422","C","T"
"3350","31427789","2019","Environment","Bilateral oophorectomy (both ovaries removed) (female)","0.03967","205791","C","T"
"3353","31427789","2019","Psychiatric","Number of cigarettes previously smoked daily","0.02092","90143","C","T"
"3354","31427789","2019","Psychiatric","Age stopped smoking","0.02344","94873","T","C"
"3356","31427789","2019","Psychiatric","Number of unsuccessful stop-smoking attempts","0.04906","86525","T","C"
"3359","31427789","2019","Cardiovascular","Age high blood pressure diagnosed","0.007955","92583","T","C"
"3371","31427789","2019","Respiratory","Chest pain or discomfort when walking uphill or hurrying","0.03788","48190","T","C"
"3379","31427789","2019","Cardiovascular","Diastolic Blood Pressure (automated reading)","0.01605","361411","C","T"
"3380","31427789","2019","Cardiovascular","Systolic Blood Pressure (automated reading)","0.0001054","361402","T","C"
"3410","31427789","2019","Mortality","Interpolated Year when non-cancer illness first diagnosed","0.00001927","277734","T","C"
"3411","31427789","2019","Mortality","Interpolated Age of participant when non-cancer illness first diagnosed","0.00002171","277734","T","C"
"3414","31427789","2019","Metabolic","Birth weight","0.000001622","219088","T","C"
"3417","31427789","2019","Psychiatric","Neuroticism score","0.03247","312740","C","T"
"3435","31427789","2019","Metabolic","Body Mass Index","1.347e-10","385336","C","T"
"3436","31427789","2019","Metabolic","Weight","5.165e-10","385473","C","T"
"3440","31427789","2019","Metabolic","Impedance measures - Weight","1.17e-9","379840","C","T"
"3441","31427789","2019","Metabolic","Impedance measures - Body fat percentage","9.757e-8","379615","C","T"
"3442","31427789","2019","Metabolic","Impedance measures - Whole body fat mass","1.725e-10","379203","C","T"
"3443","31427789","2019","Metabolic","Impedance measures - Whole body fat-free mass","0.00001066","379804","C","T"
"3444","31427789","2019","Metabolic","Impedance measures - Whole body water mass","0.000006623","379835","C","T"
"3445","31427789","2019","Metabolic","Impedance measures - Body Mass Index (BMI)","5.147e-10","379831","C","T"
"3446","31427789","2019","Metabolic","Impedance measures - Basal metabolic rate","3.281e-7","379821","C","T"
"3447","31427789","2019","Metabolic","Impedance measures - Impedance of whole body","0.01927","379792","T","C"
"3450","31427789","2019","Metabolic","Impedance measures - Impedance of arm (right)","0.03168","379786","T","C"
"3451","31427789","2019","Metabolic","Impedance measures - Impedance of arm (left)","0.007016","379803","T","C"
"3452","31427789","2019","Metabolic","Impedance measures - Leg fat percentage (right)","1.678e-10","379806","C","T"
"3453","31427789","2019","Metabolic","Impedance measures - Leg fat mass (right)","2.351e-11","379802","C","T"
"3454","31427789","2019","Metabolic","Impedance measures - Leg fat-free mass (right)","0.000007917","379793","C","T"
"3455","31427789","2019","Metabolic","Impedance measures - Leg predicted mass (right)","0.000008749","379793","C","T"
"3456","31427789","2019","Metabolic","Impedance measures - Leg fat percentage (left)","2.923e-10","379786","C","T"
"3457","31427789","2019","Metabolic","Impedance measures - Leg fat mass (left)","4.15e-11","379783","C","T"
"3458","31427789","2019","Metabolic","Impedance measures - Leg fat-free mass (left)","6.315e-7","379766","C","T"
"3459","31427789","2019","Metabolic","Impedance measures - Leg predicted mass (left)","8.587e-7","379761","C","T"
"3460","31427789","2019","Metabolic","Impedance measures - Arm fat percentage (right)","2.869e-7","379752","C","T"
"3461","31427789","2019","Metabolic","Impedance measures - Arm fat mass (right)","1.254e-9","379725","C","T"
"3462","31427789","2019","Metabolic","Impedance measures - Arm fat-free mass (right)","1.251e-7","379723","C","T"
"3463","31427789","2019","Metabolic","Impedance measures - Arm predicted mass (right)","1.906e-7","379716","C","T"
"3464","31427789","2019","Metabolic","Impedance measures - Arm fat percentage (left)","2.009e-7","379699","C","T"
"3465","31427789","2019","Metabolic","Impedance measures - Arm fat mass (left)","1.318e-9","379663","C","T"
"3466","31427789","2019","Metabolic","Impedance measures - Arm fat-free mass (left)","4.025e-7","379653","C","T"
"3467","31427789","2019","Metabolic","Impedance measures - Arm predicted mass (left)","0.000001583","379638","C","T"
"3468","31427789","2019","Metabolic","Impedance measures - Trunk fat percentage","0.00001593","379600","C","T"
"3469","31427789","2019","Metabolic","Impedance measures - Trunk fat mass","1.548e-8","379578","C","T"
"3470","31427789","2019","Metabolic","Impedance measures - Trunk fat-free mass","0.0002912","379507","C","T"
"3471","31427789","2019","Metabolic","Impedance measures - Trunk predicted mass","0.0001599","379469","C","T"
"3480","31427789","2019","Nutritional","Milk type used: Full cream","0.0264","373135","C","T"
"3485","31427789","2019","Nutritional","Bread type: White","0.02761","372617","C","T"
"3487","31427789","2019","Nutritional","Bread type: Wholemeal or wholegrain","0.04376","372617","T","C"
"3490","31427789","2019","Nutritional","Cereal type: Oat cereal (e.g. Ready Brek, porridge)","0.008804","319477","T","C"
"3495","31427789","2019","Dermatological","Hair colour (natural, before greying): Blonde","0.0003821","385603","C","T"
"3500","31427789","2019","Dermatological","Male-specific factors - Hair/balding pattern: Pattern 1","0.01332","176380","C","T"
"3503","31427789","2019","Dermatological","Male-specific factors - Hair/balding pattern: Pattern 4","0.008965","176380","T","C"
"3509","31427789","2019","Psychiatric","Reason for reducing amount of alcohol drunk: Illness or ill health","0.00001558","142645","T","C"
"3511","31427789","2019","Psychiatric","Reason for reducing amount of alcohol drunk: Other reason","0.0001358","142645","C","T"
"3529","31427789","2019","Nutritional","Never eat eggs, dairy, wheat, sugar: Wheat products","0.01975","384986","T","C"
"3530","31427789","2019","Nutritional","Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar","6.293e-11","384986","T","C"
"3531","31427789","2019","Nutritional","Never eat eggs, dairy, wheat, sugar: I eat all of the above","1.306e-10","384986","C","T"
"3539","31427789","2019","Activities","Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia')","0.001183","78647","T","C"
"3541","31427789","2019","Activities","Reason for glasses/contact lenses: For just reading/near work as you are getting older (called 'presbyopia')","0.002448","78647","C","T"
"3549","31427789","2019","Body Structures","Mouth/teeth dental problems: Dentures","0.01199","385026","T","C"
"3550","31427789","2019","Cardiovascular","Vascular/heart problems diagnosed by doctor: Angina","0.002499","385699","T","C"
"3551","31427789","2019","Cardiovascular","Vascular/heart problems diagnosed by doctor: High blood pressure","0.007465","385699","T","C"
"3554","31427789","2019","Activities","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication","1.513e-13","207533","T","C"
"3556","31427789","2019","Activities","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Hormone replacement therapy","0.0008919","207533","C","T"
"3557","31427789","2019","Activities","Medication for pain relief, constipation, heartburn: Aspirin","0.000002848","382089","T","C"
"3565","31427789","2019","Activities","Vitamin and mineral supplements: Vitamin E","0.04549","384452","C","T"
"3574","31427789","2019","Neurological","Pain type(s) experienced in last month: Hip pain","0.03731","385698","C","T"
"3590","31427789","2019","Activities","Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication","1.253e-18","176050","T","C"
"3591","31427789","2019","Activities","Medication for cholesterol, blood pressure or diabetes: Blood pressure medication","0.0006163","176050","T","C"
"3597","31427789","2019","Cardiovascular","Non-cancer illness code, self-reported: hypertension","0.04898","289307","T","C"
